,start_a,start_T,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,final_distance,calc_time
56,0.999,100,12,6,28,1,8,23,27,24,16,19,15,14,22,17,18,4,13,2,21,5,9,26,29,3,20,10,11,25,7,2115,0.613322973
57,0.999,100,28,8,27,16,19,15,14,17,18,4,20,10,13,25,7,23,24,1,21,6,12,9,5,26,29,3,2,11,22,2355,0.61451602
58,0.999,100,12,6,9,26,5,21,13,1,28,8,23,27,24,16,19,11,22,14,17,18,15,10,20,3,29,2,4,25,7,2269,0.64372015
59,0.999,100,24,16,19,4,10,13,1,28,8,27,23,7,25,11,15,14,22,17,18,20,3,29,26,5,9,12,6,21,2,2198,0.634932041
60,0.999,100,3,2,21,13,19,15,4,10,20,6,12,28,1,8,23,7,25,11,22,14,17,18,16,27,24,5,9,26,29,2345,0.633075953
61,0.9999,100,28,1,8,24,13,16,27,23,7,25,11,22,14,17,18,20,2,3,29,26,5,9,12,6,21,10,4,15,19,2140,6.546573877
62,0.9999,100,2,20,10,4,15,18,17,14,22,11,19,16,24,1,28,8,27,23,7,25,13,21,6,12,9,5,26,29,3,1995,6.27331686
63,0.9999,100,1,21,13,10,20,2,3,29,26,5,9,12,6,28,8,24,27,23,7,25,16,19,4,15,18,17,14,22,11,1994,6.628746986
64,0.9999,100,23,7,25,11,15,4,10,20,2,3,29,26,21,5,9,12,6,28,1,24,8,27,16,13,19,18,14,22,17,2014,6.245878935
65,0.9999,100,3,29,2,21,5,26,9,12,6,28,1,24,8,27,23,16,19,11,22,14,17,18,15,4,10,20,13,25,7,1933,6.134238005
66,0.9999,100,23,27,8,1,28,6,12,9,26,29,3,5,21,2,20,10,4,13,24,16,25,7,19,15,18,17,14,22,11,1991,6.427408934
67,0.9999,100,3,29,26,2,21,5,9,12,6,28,1,8,24,13,16,27,23,7,25,11,22,14,17,18,15,19,4,10,20,1942,6.332364082
68,0.9999,100,3,29,26,2,13,19,25,7,11,22,14,17,18,15,4,10,20,21,1,24,16,23,27,8,28,6,12,9,5,2059,6.444196939
69,0.9999,100,5,9,12,6,28,1,24,8,27,23,16,13,21,26,29,3,2,20,10,4,15,19,25,7,11,22,14,18,17,2046,6.303117037
70,0.9999,100,13,24,27,16,19,4,10,20,21,2,3,29,26,5,9,12,6,28,1,8,23,7,25,11,15,18,14,22,17,1975,6.201915026
71,0.99999,100,7,25,19,11,22,14,17,18,15,4,10,20,13,21,2,3,29,26,5,9,12,6,28,1,24,16,27,8,23,1865,1.046541297
72,0.99999,100,17,22,14,18,15,11,25,7,23,27,8,24,13,16,19,4,10,20,2,21,1,28,6,12,9,5,26,29,3,1846,1.040624483
73,0.99999,100,12,6,21,2,20,10,13,4,15,18,17,14,22,11,19,25,7,23,8,27,16,24,1,28,9,5,26,29,3,1937,1.10058825
74,0.99999,100,23,27,8,24,13,2,21,1,28,6,12,9,5,26,29,3,20,10,4,15,18,17,14,22,11,19,16,25,7,1918,1.094058351
75,0.99999,100,13,4,10,20,21,2,3,29,26,5,9,12,6,28,1,8,23,27,24,16,19,15,18,17,14,22,11,25,7,1924,1.041124666
76,0.99999,100,23,27,16,24,8,1,28,6,12,9,5,26,29,3,2,21,20,10,13,19,4,15,18,17,14,22,11,25,7,1888,1.036299117
77,0.99999,100,7,25,16,23,27,8,24,1,28,6,12,9,5,26,29,3,2,21,20,10,13,19,4,15,18,17,14,22,11,1898,1.037323264
78,0.99999,100,11,22,14,17,18,15,19,25,7,23,27,8,24,16,13,4,10,20,2,21,1,28,6,12,9,5,26,29,3,1824,1.029334617
79,0.99999,100,3,29,26,2,21,5,9,12,6,28,1,8,24,13,10,20,4,15,18,17,14,22,11,25,19,16,27,23,7,1906,1.058069833
80,0.99999,100,7,25,16,23,27,8,21,2,3,29,26,5,9,12,6,28,1,24,13,20,10,4,15,18,17,14,22,11,19,1984,1.04556975
81,0.99,1000,21,2,20,10,4,15,11,7,25,19,16,13,14,22,17,18,29,3,26,5,9,1,24,27,23,8,6,12,28,2481,0.090463877
82,0.99,1000,3,29,24,13,15,14,17,19,16,27,8,28,1,23,7,25,11,22,18,4,10,20,2,26,5,9,12,21,6,2571,0.136949062
83,0.99,1000,2,10,20,26,9,5,1,24,8,23,7,11,17,22,14,18,25,16,13,4,15,19,27,28,12,6,21,29,3,2663,0.088023901
84,0.99,1000,3,29,1,8,24,28,9,5,26,2,20,25,7,23,27,16,19,13,10,21,12,6,4,15,11,22,14,17,18,2587,0.135051012
85,0.99,1000,28,1,8,24,16,18,17,22,14,15,4,19,11,7,25,23,27,10,20,13,21,6,12,9,2,5,26,29,3,2404,0.131074905
86,0.99,1000,3,29,26,5,9,12,6,28,8,23,27,24,1,21,2,20,4,7,25,11,22,19,16,13,10,15,14,18,17,2198,0.130978107
87,0.99,1000,4,10,20,2,5,9,26,3,29,18,17,14,15,11,19,25,7,23,8,1,24,13,21,12,6,28,27,16,22,2573,0.129134893
88,0.99,1000,12,6,28,1,24,2,13,19,25,17,22,14,18,29,3,26,9,5,21,20,10,4,15,11,7,23,27,8,16,2503,0.134895802
89,0.99,1000,6,12,9,5,10,18,17,14,22,11,15,21,1,28,8,23,27,24,13,16,25,7,19,4,20,2,29,26,3,2352,0.134778023
90,0.99,1000,7,27,23,8,28,21,13,4,17,22,11,25,19,10,20,2,5,6,1,24,16,15,14,18,29,3,26,9,12,2631,0.131369114
91,0.999,1000,7,25,15,18,17,22,14,4,10,20,3,29,26,5,9,12,6,28,8,23,27,1,21,2,13,24,16,19,11,2149,1.103678942
92,0.999,1000,7,25,19,16,13,15,11,22,14,17,18,4,10,20,2,29,3,26,21,1,24,27,23,8,28,6,12,9,5,2070,0.869827986
93,0.999,1000,12,9,2,20,10,15,14,22,11,19,25,7,23,27,8,1,28,6,5,26,29,3,21,24,16,13,4,18,17,2233,0.878582001
94,0.999,1000,3,29,26,5,21,2,20,18,17,22,14,25,7,23,27,8,24,13,10,4,15,11,19,16,1,28,6,12,9,2107,0.874236107
95,0.999,1000,9,5,26,29,3,1,24,8,28,12,6,21,18,17,14,15,4,10,20,2,13,16,27,23,7,25,19,11,22,2347,1.012099981
96,0.999,1000,14,22,11,25,7,19,10,20,2,21,1,6,5,26,3,29,9,12,28,8,23,27,24,16,13,4,15,18,17,2204,0.928146124
97,0.999,1000,15,18,17,14,22,11,25,19,16,28,1,3,29,26,5,9,12,6,21,2,20,10,4,13,24,8,27,23,7,2149,0.914363146
98,0.999,1000,10,20,3,29,26,2,13,24,8,1,28,6,12,9,5,21,4,15,18,17,14,19,16,27,23,7,25,11,22,2286,0.916271925
99,0.999,1000,12,6,28,8,24,13,10,20,3,29,26,9,5,2,21,1,19,4,15,18,17,14,22,11,25,7,23,27,16,2182,0.923738003
100,0.999,1000,28,1,8,27,24,13,16,23,7,25,19,11,15,4,10,12,6,21,2,3,29,26,9,5,20,18,14,22,17,2285,0.97559309
101,0.9999,1000,17,22,14,18,15,4,10,21,5,9,12,6,28,1,8,23,27,24,16,13,2,26,29,3,20,19,11,25,7,2150,8.81597209
102,0.9999,1000,3,29,2,20,10,4,18,17,14,22,11,15,19,25,7,23,27,8,24,16,13,21,1,28,6,5,26,9,12,1976,8.944766045
103,0.9999,1000,8,24,1,28,6,12,9,5,26,29,3,2,21,20,10,13,19,25,7,23,27,16,4,15,18,17,14,22,11,1990,9.054211855
104,0.9999,1000,7,25,11,22,14,17,18,15,4,19,16,27,8,1,28,6,12,9,5,26,29,3,2,21,20,10,13,24,23,1912,9.029247999
105,0.9999,1000,3,29,26,9,12,6,28,1,24,8,27,23,7,25,16,19,11,22,14,17,18,15,4,13,10,20,2,21,5,1904,9.074207067
106,0.9999,1000,23,27,16,24,8,28,1,21,5,6,12,9,26,29,3,2,20,10,13,4,18,17,14,22,11,15,19,25,7,1939,8.782241106
107,0.9999,1000,12,6,9,5,21,2,20,10,18,17,14,22,11,15,4,13,24,16,19,25,7,23,27,8,28,1,26,29,3,2038,8.772683144
108,0.9999,1000,5,9,12,6,28,8,27,23,7,25,19,16,24,1,21,2,13,4,15,18,17,14,22,11,10,20,26,29,3,2109,8.764620066
109,0.9999,1000,1,8,27,23,7,25,19,13,20,10,4,15,18,17,14,22,11,16,24,21,2,3,29,26,5,9,12,6,28,2073,8.994423151
110,0.9999,1000,3,29,26,2,5,9,12,6,28,1,21,20,10,18,17,14,22,11,15,4,13,24,8,27,23,7,25,19,16,2032,8.970682859
111,0.99999,1000,17,18,14,22,11,15,4,19,25,7,23,27,16,24,8,1,28,6,12,9,5,26,29,3,2,21,20,10,13,1926,2.965104318
112,0.99999,1000,11,22,14,17,18,15,4,20,10,13,21,2,3,29,26,5,9,12,6,28,1,24,8,27,23,16,19,25,7,1866,2.9752279
113,0.99999,1000,23,27,8,24,1,28,6,12,9,5,26,29,3,2,21,13,20,10,4,15,18,17,14,22,11,19,16,25,7,1866,2.948852269
114,0.99999,1000,11,22,14,17,18,15,4,10,20,13,16,19,25,7,23,27,24,8,28,1,21,2,5,6,12,9,26,29,3,1886,2.976601418
115,0.99999,1000,13,2,21,5,26,9,12,6,28,1,8,24,16,27,23,7,25,19,11,22,14,17,18,15,4,10,20,29,3,1991,2.924602497
116,0.99999,1000,23,27,8,24,1,28,6,12,9,2,20,10,4,15,18,17,14,22,11,25,7,19,16,13,21,5,26,29,3,1970,2.919663235
117,0.99999,1000,3,29,26,5,9,12,6,28,1,21,2,20,10,13,4,15,18,17,14,22,11,7,25,19,16,24,8,27,23,1846,2.949781199
118,0.99999,1000,16,27,23,7,25,19,11,22,14,17,18,15,4,10,20,2,21,13,24,8,1,28,6,12,9,5,26,29,3,1874,2.911373953
119,0.99999,1000,23,27,8,1,28,6,12,9,5,26,29,3,2,21,24,16,13,10,20,4,15,18,17,14,22,11,19,25,7,1878,2.935832934
120,0.99999,1000,17,22,14,18,15,11,19,25,7,23,27,8,24,16,13,4,10,20,2,21,1,28,6,12,9,5,26,29,3,1826,2.906568468
121,0.99,10000,15,11,7,25,23,8,27,24,16,19,14,22,17,18,4,10,20,5,9,12,6,28,1,21,29,3,26,2,13,2348,0.16651392
122,0.99,10000,9,12,23,27,7,25,19,2,29,3,26,5,16,11,22,14,17,18,15,20,21,1,6,28,8,24,13,10,4,2777,0.174043894
123,0.99,10000,8,27,16,19,11,22,17,14,2,5,3,29,26,9,21,1,6,12,28,24,23,18,15,4,10,20,13,25,7,2606,0.159476995
124,0.99,10000,9,12,6,8,23,27,13,2,20,10,18,15,4,16,24,28,1,3,29,26,5,21,11,22,17,14,19,25,7,2576,0.159934044
125,0.99,10000,17,22,11,25,7,28,1,6,21,2,20,4,15,14,18,10,12,9,26,5,29,3,13,19,16,27,8,24,23,2679,0.125144005
126,0.99,10000,21,2,20,13,19,17,22,11,16,10,4,15,18,14,25,7,23,27,8,24,9,5,6,1,28,12,26,29,3,2559,0.171452999
127,0.99,10000,15,11,25,7,10,9,12,8,27,23,16,19,13,24,6,28,1,21,2,3,29,26,5,20,4,18,17,14,22,2655,0.156826973
128,0.99,10000,17,22,14,18,6,5,9,12,28,1,8,27,13,10,24,23,16,19,11,15,21,26,29,3,2,20,4,25,7,2613,0.174212933
129,0.99,10000,3,5,6,28,12,9,26,29,20,4,14,22,17,18,13,2,21,1,8,27,24,16,23,25,19,10,15,11,7,2508,0.119055986
130,0.99,10000,12,28,8,27,23,24,16,11,22,18,17,14,15,4,10,7,25,19,13,20,2,1,21,6,9,5,26,29,3,2315,0.136734962
131,0.999,10000,17,14,22,11,7,25,19,16,1,28,6,12,9,5,2,20,18,15,4,10,13,24,27,23,8,21,26,29,3,2212,1.365936995
132,0.999,10000,9,5,26,29,3,2,20,10,13,24,8,27,16,19,15,11,25,7,23,1,28,12,6,21,4,18,14,22,17,2189,1.115688086
133,0.999,10000,5,9,12,6,28,8,1,21,10,13,23,27,24,2,26,29,3,20,4,15,11,7,25,16,19,18,14,22,17,2410,1.134804964
134,0.999,10000,12,6,28,8,27,24,13,21,2,3,29,26,9,5,1,23,7,25,11,22,14,17,18,15,19,16,4,10,20,2199,1.297573805
135,0.999,10000,11,22,14,4,10,20,13,19,25,7,23,27,8,1,21,2,3,29,26,5,9,12,6,28,24,16,15,18,17,2098,1.131677866
136,0.999,10000,7,25,13,2,26,29,3,20,4,15,14,22,11,19,16,24,27,23,8,28,1,21,6,12,9,5,10,18,17,2366,1.169889927
137,0.999,10000,11,22,14,17,18,20,2,3,29,26,5,9,12,6,21,13,10,4,15,19,16,27,24,1,28,8,23,25,7,2072,1.192640066
138,0.999,10000,23,27,8,24,1,28,6,12,9,5,26,2,21,13,4,15,19,16,25,7,11,22,14,17,18,10,20,29,3,2105,1.147215128
139,0.999,10000,20,10,4,15,13,1,21,2,3,29,26,5,9,12,6,28,8,24,27,23,7,25,16,19,11,22,14,18,17,2039,1.176800966
140,0.999,10000,12,28,1,8,23,27,24,21,2,20,10,13,16,19,25,7,11,22,14,17,18,15,4,5,6,9,26,29,3,2156,1.301042795
141,0.9999,10000,17,18,14,22,11,15,4,19,13,10,20,2,3,29,26,9,12,6,5,21,1,28,8,23,27,24,16,25,7,1941,13.55627704
142,0.9999,10000,7,25,13,5,9,26,29,3,2,21,20,10,4,15,18,17,14,22,11,19,16,23,27,8,24,1,28,6,12,2042,13.20216608
143,0.9999,10000,11,22,14,17,18,15,4,10,20,21,2,3,29,26,5,9,12,6,28,1,8,23,27,24,13,16,19,25,7,1866,13.15799499
144,0.9999,10000,1,21,2,3,29,26,5,9,12,6,28,8,23,7,25,19,11,22,14,17,18,15,4,20,10,13,24,27,16,1985,13.28316021
145,0.9999,10000,11,22,14,17,18,15,4,13,10,20,2,3,29,26,5,9,12,6,21,1,28,8,23,7,25,19,16,27,24,1986,13.41044784
146,0.9999,10000,3,29,26,21,1,13,15,11,22,14,17,18,4,10,20,2,5,9,12,6,28,8,27,23,7,25,19,16,24,2097,13.058038
